poiid,created_time,id,text,source,user_id,user_location,lat_poi,lng_poi,lat_event,lng_event,category1,category2
B2094653D26EA2FB469C,Fri Aug 30 00:03:05 +0800 2013,3616784923915140,____________________[__][__][__] ____:http://t.cn/z8LS7xm,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2331418815,__ __,22.58889,114.12574,22.58889,114.12574,Supermarkets,Shopping
B2094653D26DA5F44993,Fri Aug 30 00:03:33 +0800 2013,3616785037365090,____________FYS ____:http://t.cn/zHkGX1n,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2692474420,__ __,22.54599,114.128616,22.54599,114.128616,Western restaurants,Food/Drinks
B2094652DB6AA4F5419E,Fri Aug 30 00:05:17 +0800 2013,3616785486270960,__________________________________________…______________… ____:http://t.cn/z8AsQnt ____:http://t.cn/z8AsQnt,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",1922870841,__ __,22.50095,113.930672,22.50095,113.930672,Residence,Home/Work
B2094652DB65A3F5499A,Fri Aug 30 00:06:13 +0800 2013,3616785720952360,______ ____:http://t.cn/z8ys0vX,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",3187202464,__ __,22.5091,114.05707,22.5091,114.05707,Buildings,Others
B2094653D26DA4F8499A,Fri Aug 30 00:06:51 +0800 2013,3616785880581510,____ ____:http://t.cn/z8LVfqk,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2169274373,__ __,22.54895,114.102272,22.54895,114.102272,Western restaurants,Food/Drinks
B2094653D26EA1FF4892,Fri Aug 30 00:08:08 +0800 2013,3616786203426410,_ _ _ ____:http://t.cn/zQD5ekx,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",1678052907,__ __,22.56415,114.05747,22.56415,114.05747,Residence,Home/Work
B2094653D26EA4F84399,Fri Aug 30 00:08:24 +0800 2013,3616786262160780,____ ____:http://t.cn/z82nnHj,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2169274373,__ __,22.55217,114.101181,22.55217,114.101181,Bakery,Food/Drinks
B2094750DB6BA5FD4399,Fri Aug 30 00:08:35 +0800 2013,3616786312712740,#_______##_______#______ ____:http://t.cn/z8ACmcV,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2695832567,__ __,22.544446,114.110961,22.544446,114.110961,Unknowná,Others
B2094750DB6DA6FB409C,Fri Aug 30 00:10:22 +0800 2013,3616786756743080,____happy birthday_ ____:http://t.cn/z8Ae8Bp,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2172287270,__ __,22.545845,114.110092,22.545845,114.110092,Unknowná,Others
B2094653D26EA4F84399,Fri Aug 30 00:10:32 +0800 2013,3616786794158400,____ ____:http://t.cn/z82nnHj,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2169274373,__ __,22.55217,114.101181,22.55217,114.101181,Bakery,Food/Drinks
B2094653D268A6FF419B,Fri Aug 30 00:11:59 +0800 2013,3616787176483400,_____________________________ ____:http://t.cn/z8UlxwG,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2364100692,__ __,22.58359,113.966011,22.58359,113.966011,Residence,Home/Work
B2094757D064ABFF419A,Fri Aug 30 00:12:54 +0800 2013,3616787390665690,-0-________________ __#______# http://t.cn/zHFa4Js,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",1923593072,__ __,22.553787,114.033272,22.553787,114.033272,Subway,Travel
B2094653D269A2FE4599,Fri Aug 30 00:12:58 +0800 2013,3616787415836880,______________[_][_][____][____][____] ____:http://t.cn/z8UlaxB,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2620047724,__ __,22.57501,113.95374,22.57501,113.95374,Buildings,Others
B2094653D269A2FE4599,Fri Aug 30 00:14:00 +0800 2013,3616787671532390,___________________[____] ____:http://t.cn/z8UlaxB,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2620047724,__ __,22.57501,113.95374,22.57501,113.95374,Buildings,Others
B2094757D16CA3FE489A,Fri Aug 30 00:14:01 +0800 2013,3616787675727630,__:#______#  ________ _______ _________ ________ _______ ___________ _______________________ ____________________[__],"<a href=""http://app.weibo.com/t/feed/1KbPpV"" rel=""nofollow"">WeicoHD.iPad</a>",1919154065,__ __,113.951691,22.556,22.556,113.951691,Hostelsá,Travel
B2094653D26BA2FB449E,Fri Aug 30 00:15:43 +0800 2013,3616788111778410,_________________[__][__][__][__][_][_][_][_][_] ____:http://t.cn/z8UlTyI,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",1743657132,__ __,22.61002,113.971901,22.61002,113.971901,Bus Station,Travel
B2094653D26EA5FC4293,Fri Aug 30 00:20:27 +0800 2013,3616789307426500,__________________________[_][_] ____:http://t.cn/z8Uj7wv,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2244914705,__ __,22.5503,114.10882,22.5503,114.10882,Bakery,Food/Drinks
B2094652DB65A1FA4198,Fri Aug 30 00:22:08 +0800 2013,3616789726960270,@_____ [___][___][___][__]_________ ____:http://t.cn/z8A9luW,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2629288401,__ __,22.55612,114.036324,22.55612,114.036324,Buildings,Others
B2094750D36BAAFE4692,Fri Aug 30 00:22:29 +0800 2013,3616789810866460,_________________________****14 ____:http://t.cn/z8UjUs1,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2347859687,__ __,22.5378548,114.1101815,22.5378548,114.1101815,Western restaurants,Food/Drinks
B2094653D26EA5FC4293,Fri Aug 30 00:24:31 +0800 2013,3616790330824400,___________________________________________________________________________________1/5_____________________________________ ____:http://t.cn/z8Uj7wv,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2244914705,__ __,22.5503,114.10882,22.5503,114.10882,Bakery,Food/Drinks
B2094653D269AAF94298,Fri Aug 30 00:27:12 +0800 2013,3616790989493050,___@__________ ____[__][__][__][__][__]________________[__][__][__] ____:http://t.cn/z8UjCg1,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2141882473,__ __,22.536501,113.919968,22.536501,113.919968,Outdoors,Outdoors/Sports
B2094653D26BA2F44792,Fri Aug 30 00:27:45 +0800 2013,3616791131872560,______2013__last travel[_] ____:http://t.cn/zQeAdlv,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",1797049362,__ __,22.53264,113.99561,22.53264,113.99561,Bus Station,Travel
B2094757D565A4F94492,Fri Aug 30 00:28:25 +0800 2013,3616791299003880,__ ____:http://t.cn/z8ADXlG,"<a href=""http://app.weibo.com/t/feed/6Df7i5"" rel=""nofollow"">____2S</a>",1911435852,__ __,22.56114746,114.1292934,22.56114746,114.1292934,Residence,Home/Work
B2094757D065A1F8409E,Fri Aug 30 00:31:16 +0800 2013,3616792025211970,_____ ____:http://t.cn/z82cj9T,"<a href=""http://app.weibo.com/t/feed/4d8JpP"" rel=""nofollow"">__Galaxy SIII</a>",2869226004,__ __,22.56469917,114.0516129,22.56469917,114.0516129,Fast food,Food/Drinks
B2094652DB64A1FB4692,Fri Aug 30 00:32:28 +0800 2013,3616792327276400,____ _____________________ ______________________ ____ ____ ____ __________ _____ [__][__][__] ____:http://t.cn/z8UjDvP,"<a href=""http://app.weibo.com/t/feed/6tbQhM"" rel=""nofollow"">____2</a>",1976900202,__ __,22.52232,114.05056,22.52232,114.05056,Residence,Home/Work
B2094653D26EA4F8419E,Fri Aug 30 00:36:12 +0800 2013,3616793257973600,______________________________________________________…______________________________________ ____:http://t.cn/z82ypHO,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",1732922900,__ __,22.54149,114.12491,22.54149,114.12491,Buildings,Others
B2094652DB69A0FF4292,Fri Aug 30 00:36:16 +0800 2013,3616793274751910,_______________www.17hw.cn ____:http://t.cn/zQehCyy,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2106212512,__ __,22.53314,113.941139,22.53314,113.941139,Restaurant,Food/Drinks
B2094652DB69A4F5439C,Fri Aug 30 00:36:16 +0800 2013,3616793287970880,______________[_] ____:http://t.cn/zQkkb1T,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2383048983,__ __,22.523331,113.930077,22.523331,113.930077,Residence,Home/Work
B2094652DB64A1FE439E,Fri Aug 30 00:36:40 +0800 2013,3616793375096640,http://t.cn/zQioeUY #_______# ____:http://t.cn/z8ADwqI,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2521975197,__ __,22.52636,114.05254,22.52636,114.05254,Residence,Home/Work
B2094652DB64AAFC4599,Fri Aug 30 00:37:08 +0800 2013,3616793497063120,___:G_ys333_ ____:http://t.cn/z8LYxWR,"<a href=""http://app.weibo.com/t/feed/2AhyC"" rel=""nofollow"">__Galaxy Note II</a>",3739819861,__ __,22.52565,114.0296,22.52565,114.0296,Residence,Home/Work
B2094757D065A1FB429C,Fri Aug 30 00:37:39 +0800 2013,3616793627516520,@___ ________________________[hold_][hold_][hold_][hold_] ____:http://t.cn/z82BRBg,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2809274104,__ __,22.546249,114.128151,22.546249,114.128151,Cantonese cuisine,Food/Drinks
B2094757D065A1FB429C,Fri Aug 30 00:38:13 +0800 2013,3616793770150050,@___apple ____[__][__]_______[__][__]___[__][__][__] ____:http://t.cn/z82BRBg,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2809274104,__ __,22.546249,114.128151,22.546249,114.128151,Cantonese cuisine,Food/Drinks
B2094653D26EA7F44899,Fri Aug 30 00:38:58 +0800 2013,3616793954731600,____ ____:http://t.cn/z82lhbv,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",3191412114,__ ___,22.5403,114.10321,22.5403,114.10321,Fourástar hotels,Travel
B2094652DB69A2FA429F,Fri Aug 30 00:39:30 +0800 2013,3616794092367130,__________________________[__]_______…[_]__[_] ____:http://t.cn/z82mTns,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",1709941734,__ __,22.58592,113.96924,22.58592,113.96924,Colleges&Universities,College/Organization
B2094653D26FAAFC439B,Fri Aug 30 00:41:56 +0800 2013,3616794701156480,________________________ ____:http://t.cn/z8LBlO5,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2080594671,__ __,22.515051,113.91996,22.515051,113.91996,Residence,Home/Work
