poiid,created_time,created_date,id,text,source,user_id,user_location,lat_poi,lng_poi,lat_event,lng_event,category1,category2
B2094653D268A0F8429E,Fri Nov 08 00:00:02 +0800 2013,Fri Nov 08 2013,3642151306630490,[__][__]_________________________ ____:http://t.cn/z8AUE6A,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2721379781,__ __,22.57701,114.12698,22.57701,114.12698,Residence,Home/Work
B2094653D26AA7FF469E,Fri Nov 08 00:00:20 +0800 2013,Fri Nov 08 2013,3642151391213710,Those memories enough to accompany me to spend the whole winter. I think you will be happier without me. ____:http://t.cn/z8ExEAe,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2154455025,__ __,22.54255,114.12128,22.54255,114.12128,Residence,Home/Work
B2094757D16FA0FC419A,Fri Nov 08 00:00:35 +0800 2013,Fri Nov 08 2013,3642151445751500,__________ ____:http://t.cn/z8UGmYS,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2116303175,__ __,22.51869011,114.0455933,22.51869011,114.0455933,Unknowná,Others
B2094757D16CABF9409B,Fri Nov 08 00:01:11 +0800 2013,Fri Nov 08 2013,3642151596237660,_________@___fighting __________OK__[_]_________________________ ____:http://t.cn/z8AfQuc,"<a href=""http://app.weibo.com/t/feed/4swE93"" rel=""nofollow"">__android____</a>",1901001985,__ __,22.59219209,113.9708628,22.59219209,113.9708628,Colleges&Universities,College/Organization
B2094653D26DA6FF429D,Fri Nov 08 00:02:00 +0800 2013,Fri Nov 08 2013,3642151802239110,__________T.T ____:http://t.cn/z8GOF2k,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2581929317,__,22.545429,114.135483,22.545429,114.135483,Buildings,Others
B2094653D26CA6F54799,Fri Nov 08 00:02:19 +0800 2013,Fri Nov 08 2013,3642151885885290,______________________________ ____:http://t.cn/zHeO58y,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2801676114,__ __,22.549589,114.083771,22.549589,114.083771,Residence,Home/Work
B2094757D16FA4FB4092,Fri Nov 08 00:03:46 +0800 2013,Fri Nov 08 2013,3642152246420350,_______________________________________ ____:http://t.cn/z8AFsgq,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2864912294,__ __,22.54006365,114.1179736,22.54006365,114.1179736,Othersá,Others
B2094757D068ABFE499E,Fri Nov 08 00:05:05 +0800 2013,Fri Nov 08 2013,3642152582453510,_____________________@NRude [____] ____:http://t.cn/z8Axt8X,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",3295046785,__ __,22.54043961,113.9687653,22.54043961,113.9687653,Othersá,Others
B2094757D46EA6F4449F,Fri Nov 08 00:05:14 +0800 2013,Fri Nov 08 2013,3642152620213700,______ ____:http://t.cn/zQk5N4c,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2495601365,__ __,22.57728,114.122528,22.57728,114.122528,Othersá,Others
B2094653D26AA7F54199,Fri Nov 08 00:06:42 +0800 2013,Fri Nov 08 2013,3642152984697580,_______________________________________________________________________________________________ ____:http://t.cn/zQeMaVt,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",1858432382,__ __,22.53652,114.110382,22.53652,114.110382,Residence,Home/Work
